lipid.species	oddsratio	p.value
PE 36p:4 724.6	0.9	0.389
PE 38a:3 770.6	1.16	0.229
PE 38a:4 768.6	1.21	0.124
PE 38a:6 764.6	1.14	0.277
PE 38e:0 762.6	1.35	0.015
PE 38p:2 756.6	0.9	0.396
PE 38p:3 754.6	1.19	0.166
PE 38p:4 752.6	1.09	0.478
PE 38p:5 750.6	0.93	0.528
PE 40a:4 796.6	1.22	0.119
PE 40a:5 794.6	1.08	0.506
PE 40e:0 790.6	1.22	0.105
PE 40p:0 788.6	1.37	0.0121
PS 34:4	1.48	0.00235
PS 36:3	1.16	0.234
PS 36:4	2.09	2.14e-07
PS 38:4	1.56	0.000733
PS 38:5	1.77	2.02e-05
PS 38:6	1.56	0.000537
PS 40:5	1.46	0.0037
PS 40:6	1.51	0.00113
